Designator,Footprint,Quantity,Value,LCSC Part #
1N4XXX,D_DO-41_SOD81_P10.16mm_Horizontal,1,1n4001,
C1,CP_Radial_D8.0mm_P3.50mm pin only,1,100uF,
D1,LED_D3.0mm_mod,1,Clock,
D2,LED_D3.0mm_mod,1,Ch.1,
D3,LED_D3.0mm_mod,1,Ch.2,
J1,PJ-320A,1,MIDI  OUT ▶▷,
J2,PJ-320A,1,MIDI  IN     ◁◀,
J3,PJ-320A,1,Ch.1 CLOCK  ▷,
J4,PJ-320A,1,Ch.1   GATE   ▶,
J5,PJ-320A,1,Ch.2 CLOCK  ▷,
J6,PJ-320A,1,Ch.2   GATE   ▶,
"R1, R2, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3,330,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,4.7k,
"R11, R12, R4",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,220,
"R13, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,6,220,
RESET,SW_PUSH_6mm_H5mm_4pin_mod,1,Reset,
U1,Sparkfun_Pro_Micro,1,Arduino_Pro_Micro,
U2,DIP-8_W7.62mm,1,6N138,
